name,name_id,country_code,country_name,count,pct_in_country,origin
Jacobs,jacobs-sn,BE,Belgium,4012,0.041982,Hebrew (Patronymic)
Jacobs,jacobs-sn,GB,United Kingdom,1098,0.000256,Hebrew (Patronymic)
Jacobs,jacobs-sn,NL,Netherlands,4980,0.00916,Hebrew (Patronymic)
Jacobs,jacobs-sn,US,United States,7302,0.00049,Hebrew (Patronymic)
Jacobs,jacobs-sn,ZA,South Africa,27515,0.00607,Hebrew (Patronymic)
Jacobson,jacobson-sn,US,United States,2774,0.000186,
Jacques,jacques-sn,FR,France,3880,0.001325,
Jacquet,jacquet-sn,FR,France,4011,0.00137,
Jacquot,jacquot-sn,FR,France,1143,0.00039,
Gad,jad-sn,EG,Egypt,18895,0.00056,Arabic and Hebrew
Gad,jad-sn,MA,Morocco,3381,0.000479,Arabic and Hebrew
Gad,jad-sn,SA,Saudi Arabia,1702,0.000108,Arabic and Hebrew
جادالله,jadallh-sn,EG,Egypt,3234,0.000096,
جادالله,jadallh-sn,SD,Sudan,1450,0.000317,
Jadav,jadav-sn,IN,India,1525,0.000521,
Jade,jade-sn,GB,United Kingdom,1572,0.000366,
Jadeja,jadeja-sn,IN,India,1442,0.000492,
Jadhav,jadhav-sn,IN,India,10950,0.00374,Marathi
Jadoon,jadoon-sn,SA,Saudi Arabia,1293,0.000082,
جادو,jadw-sn,EG,Egypt,1870,0.000055,
جادين,jadyn-sn,SD,Sudan,1075,0.000235,
Jaen,jaen-sn,PA,Panama,2535,0.004421,
Jaf,jaf-sn,IQ,Iraq,4837,0.000457,
Jafar,jafar-sn,SA,Saudi Arabia,2789,0.000176,
Jafari,jafari-sn,IR,Iran,5821,0.016885,Persian and Arabic
Jaff,jaff-sn,IQ,Iraq,2402,0.000227,
جعفر,jafr-sn,EG,Egypt,5804,0.000172,Arabic
جعفر,jafr-sn,IQ,Iraq,6124,0.000579,Arabic
جعفر,jafr-sn,SA,Saudi Arabia,2665,0.000168,Arabic
جعفر,jafr-sn,SD,Sudan,5468,0.001195,Arabic
جعفر,jafr-sn,SY,Syria,6811,0.001813,Arabic
جعفر,jafr-sn,YE,Yemen,1629,0.000752,Arabic
جعفری,jafry-sn,IR,Iran,1088,0.003156,
جعفری,jafry-sn,SA,Saudi Arabia,2231,0.000141,
Jafta,jafta-sn,ZA,South Africa,2406,0.000531,
Jäger,jager-sn,DE,Germany,2624,0.003429,
Jäger,jager-sn,NL,Netherlands,1116,0.002053,
Jagtap,jagtap-sn,IN,India,1113,0.00038,
Jahan,jahan-sn,BD,Bangladesh,11131,0.005762,Persian / Urdu
Jahan,jahan-sn,SA,Saudi Arabia,1198,0.000076,Persian / Urdu
Jahangir,jahangir-sn,AE,United Arab Emirates,1615,0.000597,Persian
Jahangir,jahangir-sn,BD,Bangladesh,1567,0.000811,Persian
Jahangir,jahangir-sn,OM,Oman,2081,0.00112,Persian
Jahangir,jahangir-sn,SA,Saudi Arabia,3576,0.000226,Persian
Jahed,jahed-sn,BD,Bangladesh,1012,0.000524,
Jahid,jahid-sn,BD,Bangladesh,1746,0.000904,
Jahid,jahid-sn,SA,Saudi Arabia,1143,0.000072,
Jahn,jahn-sn,DE,Germany,1251,0.001635,
Jai,jai-sn,MY,Malaysia,2168,0.000467,
Jaime,jaime-sn,CO,Colombia,1048,0.000109,Spanish
Jaime,jaime-sn,MX,Mexico,2408,0.000351,Spanish
Jaime,jaime-sn,US,United States,2851,0.000191,Spanish
Jaimes,jaimes-sn,CO,Colombia,12974,0.001349,Spanish surname tradition derived from Jaime/James lineages
Jaimes,jaimes-sn,MX,Mexico,2981,0.000435,Spanish surname tradition derived from Jaime/James lineages
Jaimes,jaimes-sn,US,United States,3954,0.000265,Spanish surname tradition derived from Jaime/James lineages
Jain,jain-sn,GB,United Kingdom,1036,0.000241,Indian community surname associated with Jain religious identity
Jain,jain-sn,IN,India,13934,0.004759,Indian community surname associated with Jain religious identity
Jain,jain-sn,US,United States,4325,0.00029,Indian community surname associated with Jain religious identity
Jairo,jairo-sn,CO,Colombia,1079,0.000112,
Jaiswal,jaiswal-sn,IN,India,7576,0.002587,Hindi
Jaiswal,jaiswal-sn,SA,Saudi Arabia,1245,0.000079,Hindi
Jakir,jakir-sn,BD,Bangladesh,1137,0.000589,
Jakir,jakir-sn,OM,Oman,1454,0.000783,
Jakir,jakir-sn,SA,Saudi Arabia,2347,0.000148,
Jakubowska,jakubowska-sn,PL,Poland,1149,0.005445,
Jakubowski,jakubowski-sn,PL,Poland,1038,0.004919,
Jalal,jalal-sn,AE,United Arab Emirates,1392,0.000514,Arabic
Jalal,jalal-sn,IQ,Iraq,9548,0.000902,Arabic
Jalal,jalal-sn,MA,Morocco,7452,0.001055,Arabic
Jalal,jalal-sn,OM,Oman,1359,0.000732,Arabic
Jalal,jalal-sn,SA,Saudi Arabia,7449,0.000471,Arabic
Jalal,jalal-sn,EG,Egypt,50028,0.001482,Arabic
Jalal,jalal-sn,DZ,Algeria,1146,0.000288,Arabic
Jalal,jalal-sn,SD,Sudan,2208,0.000483,Arabic
Jalal,jalal-sn,YE,Yemen,1228,0.000567,Arabic
Jalali,jalali-sn,IR,Iran,1271,0.003687,
Jaleel,jaleel-sn,SA,Saudi Arabia,1877,0.000119,
Jalel,jalel-sn,TN,Tunisia,1471,0.000562,
Jali,jali-sn,ZA,South Africa,4214,0.00093,
Jalil,jalil-sn,MA,Morocco,2947,0.000417,Arabic
Jalil,jalil-sn,MY,Malaysia,3701,0.000798,Arabic
Jalil,jalil-sn,SA,Saudi Arabia,2115,0.000134,Arabic
Jallouli,jallouli-sn,TN,Tunisia,1198,0.000458,
جعلي,jaly-sn,SD,Sudan,7529,0.001646,Arabic
جعليه,jalyh-sn,SD,Sudan,9508,0.002079,Arabic
جامع,jama-sn,EG,Egypt,1379,0.000041,
جامع,jama-sn,ZA,South Africa,2308,0.000509,
Jamaal,jamaal-sn,SA,Saudi Arabia,1759,0.000111,
Jamai,jamai-sn,MA,Morocco,1314,0.000186,
Jamal,jamal-sn,AE,United Arab Emirates,5347,0.001976,Arabic
Jamal,jamal-sn,BD,Bangladesh,1745,0.000903,Arabic
Jamal,jamal-sn,BH,Bahrain,1693,0.00499,Arabic
Jamal,jamal-sn,DZ,Algeria,5207,0.001309,Arabic
Jamal,jamal-sn,EG,Egypt,275802,0.00817,Arabic
